time,gFx,gFy,gFz,TgF
4.181978958,0.0352,-0.0065,1.0238,1.024
4.188264727,0.0110,-0.0275,1.0130,1.013
4.198146035,0.0192,-0.0276,1.0130,1.014
4.208189381,0.0258,-0.0151,1.0158,1.016
4.21987492,0.0318,-0.0115,1.0263,1.027
4.260747804,0.0387,-0.0031,1.0283,1.029
4.261946112,0.0380,0.0109,1.0301,1.031
4.26273442,0.0399,0.0068,1.0328,1.034
4.263372304,0.0333,-0.0103,1.0125,1.013
4.267790804,0.0303,-0.0077,1.0096,1.010
4.277991574,0.0286,-0.0198,1.0157,1.016
4.287919074,0.0326,-0.0226,1.0344,1.035
4.297826612,0.0293,-0.0117,1.0236,1.024
4.309278689,0.0386,-0.0084,1.0361,1.037
4.328271112,0.0419,-0.0084,1.0426,1.043
4.333312766,0.0395,0.0088,1.0280,1.029
4.338186881,0.0447,0.0075,1.0333,1.034
4.358778881,0.0330,-0.0100,1.0085,1.009
4.360626804,0.0360,-0.0073,1.0123,1.013
4.367927266,0.0337,-0.0154,1.0288,1.029
4.377873343,0.0294,-0.0231,1.0300,1.031
4.387719881,0.0320,-0.0136,1.0236,1.024
4.39771365,0.0347,-0.0075,1.0341,1.035
4.407702189,0.0298,-0.0082,1.0100,1.010
4.417933689,0.0473,0.0137,1.0459,1.047
4.437315112,0.0417,0.0125,1.0354,1.036
4.438328843,0.0237,-0.0136,0.9904,0.991
4.451702881,0.0404,-0.0029,1.0213,1.022
4.45762442,0.0197,-0.0216,1.0013,1.002
4.467692689,0.0249,-0.0268,1.0181,1.019
4.479958996,0.0272,-0.0120,1.0247,1.025
4.488091535,0.0315,-0.0122,1.0227,1.023
4.49822092,0.0432,0.0013,1.0418,1.043
4.508503035,0.0225,-0.0007,0.9870,0.987
4.52153265,0.0283,0.0002,0.9954,0.996
4.561350996,0.0231,-0.0112,0.9935,0.994
4.562610189,0.0322,-0.0077,1.0097,1.010
4.563521266,0.0305,-0.0159,1.0183,1.019
4.564315266,0.0021,-0.0368,0.9769,0.978
4.567855419,0.0252,-0.0156,1.0098,1.010
4.577935996,0.0452,-0.0053,1.0498,1.051
4.588152843,0.0300,-0.0092,1.0142,1.015
4.597800766,0.0454,0.0122,1.0417,1.043
4.60804315,0.0311,0.0016,1.0076,1.008
4.617769189,0.0341,-0.0088,1.0128,1.013
4.650617996,0.0360,-0.0037,1.0285,1.029
4.651809496,0.0396,-0.0120,1.0344,1.035
4.652611919,0.0275,-0.0252,1.0263,1.027
4.657855881,0.0237,-0.0159,1.0244,1.025
4.667946535,0.0235,-0.0195,1.0046,1.005
4.679214304,0.0343,-0.0045,1.0221,1.023
4.688243573,0.0419,0.0097,1.0233,1.024
4.69779365,0.0414,0.0050,1.0245,1.025
4.708231996,0.0415,-0.0040,1.0319,1.033
4.721813381,0.0269,-0.0122,1.0012,1.002
4.765281881,-0.0071,-0.0335,0.9616,0.962
4.766468112,0.0078,-0.0324,0.9883,0.989
4.767737342,0.0288,-0.0149,1.0169,1.017
4.768817073,0.0308,-0.0115,1.0349,1.035
4.769618842,0.0357,-0.0048,1.0302,1.031
4.779500189,0.0380,0.0098,1.0300,1.031
4.787866304,0.0388,0.0060,1.0355,1.036
4.79784315,0.0368,-0.0081,1.0203,1.021
4.807913189,0.0353,-0.0031,1.0188,1.019
4.817948227,0.0309,-0.0175,1.0145,1.015
4.843536996,0.0217,-0.0263,1.0166,1.017
4.845259612,0.0254,-0.0153,1.0103,1.011
4.84769215,0.0254,-0.0153,1.0103,1.011
4.857665227,0.0259,-0.0158,1.0102,1.011
4.867655381,0.0261,-0.0051,1.0135,1.014
